Data,Operação,Ativo,Tipo,Carteira,Qtde.,Preço Unit.,Total
21-11-24,Compra,QQQ,ETF,Lucas,0.0238895, $502.3125 , $12.00 
26-11-24,Compra,QQQ,ETF,Lucas,2.0438691, $508.3300 ," $1,038.96 "
26-11-24,Compra,VOO,ETF,Lucas,1.9071725, $551.1300 ," $1,051.10 "
29-11-24,Compra,SOXX,ETF,Lucas,1.2096856, $217.23 , $262.78 
29-11-24,Compra,PLTR,Stock,Lucas,1.9596111, $66.85 , $131.00 
29-11-24,Compra,ISRG,Stock,Lucas,0.2436765, $540.84 , $131.79 
05-12-24,Compra,QQQ,ETF, Pais ,1.9460730, $523.30 ," $1,018.38 "
05-12-24,Compra,VOO,ETF, Pais ,1.8235505, $558.46 ," $1,018.38 "
05-12-24,Compra,SOXX,ETF, Pais ,1.1553821, $220.36 , $254.60 
05-12-24,Compra,PLTR,Stock, Pais ,1.7737216, $71.77 , $127.30 
05-12-24,Compra,ISRG,Stock, Pais ,0.2326219, $547.24 , $127.30 
10-01-25,Compra,VOO,ETF, Pais ,0.0139467, $535.61 , $7.47 
27-01-25,Compra,QQQM,ETF, Pais ,3.7820814, $212.74 , $804.60 
27-01-25,Compra,VOO,ETF, Pais ,1.4611100, $550.67 , $804.59 
27-01-25,Compra,SOXX,ETF, Pais ,0.9294300, $216.42 , $201.15 
27-01-25,Compra,SOXX,ETF, Pais ,0.9554700, $210.51 , $201.14 
14-02-25, Venda ,SOXX,ETF, Pais ,1.1559522, $222.44 , $257.13 
21-02-25, Compra ,VOO,ETF, Pais ,0.4643012, $553.80 , $257.13 
27-02-25, Compra ,QQQM,ETF, Pais ,1.4369250, $210.86 , $302.99 
27-02-25, Compra ,PLTR,Stock, Pais ,1.4704170, $85.86 , $126.25 
27-02-25, Compra ,ISRG,Stock, Pais ,0.2211459, $570.89 , $126.25 
27-02-25, Compra ,SOXX,ETF, Pais ,0.4822153, $209.45 , $101.00 
04-04-25, Compra , AMZN ,Stock, Pais ,1.5028174, $173.92 , $261.37 
15-04-25, Venda ,PLTR,Stock, Pais ,5.2039600, $96.86 , $504.03 
01-05-25, Compra ,TGT,Stock, Pais ,5.2131452, $97.07 , $506.04 
19-05-25, Compra ,ACHR,Stock, Pais ,5.0000000, $11.99 , $59.95 
19-05-25, Compra ,OXY,Stock, Pais ,5.0000000, $42.00 , $210.00 
03-03-25, Compra ,SOXX,ETF, Pais ,0.5063164, $199.48 , $101.00 
22-05-25, Compra ,CMIG4,Ação, Brasil ,95.000000, R$ 10.52 , R$ 999.40 
29-05-25, Compra ,ACHR,Stock, Pais ,5.0000000, $10.50 , $52.50 
02-06-25, Compra ,BTHF11,FII, Brasil ,100, R$ 8.70 , R$ 870.00 
02-06-25, Compra ,BTHF11,FII, Brasil ,100, R$ 8.69 , R$ 869.00 
02-06-25, Compra ,BBAS3,Ação, Brasil ,25, R$ 23.28 , R$ 582.00 
02-06-25, Compra ,PORD11,FII, Brasil ,100, R$ 8.32 , R$ 832.00 
04-06-25, Compra ,BBAS3,Ação, Brasil ,25, R$ 22.80 , R$ 570.00 
04-06-25, Compra ,SYNE3,Ação, Brasil ,50, R$ 5.70 , R$ 285.00 
04-06-25, Compra ,XPML11,FII, Brasil ,5, R$ 103.50 , R$ 517.50 
06-06-25, Compra ,BBAS3,Ação, Brasil ,25, R$ 21.90 , R$ 547.50 
09-06-25, Venda ,TGT,Stock, Pais ,5.21327, $98.81 , $515.12 
